stage,trial_id,score,mean_gap_pct,std_gap_pct,infeasible_rate,mean_runtime_ms,max_runs,population_size,generations,refinement_candidates,ils_iterations,ils_local_search_steps,elite_size,initial_mutation_rate,initial_scaling_factor,ls_every,ls_steps,stagnation_limit,datasets
stage1,35,14.055750,13.319754,3.679978,0.000000,9799.605,2,120,600,5,60,20,8,0.700809,0.368814,250,24,1352,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,28,271.164108,111.954945,296.045816,0.100000,12341.369,2,200,600,5,60,20,10,0.638147,0.332664,100,10,1797,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,26,272.289350,113.159761,295.647943,0.100000,12023.279,2,120,600,5,60,20,6,0.627634,0.576551,100,28,1656,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,36,320.841105,111.612411,296.143470,0.150000,12731.585,2,120,600,5,60,20,8,0.778282,2.488727,100,34,1555,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,12,488.997598,209.990133,395.037329,0.200000,17229.306,2,200,600,5,60,20,4,0.934206,1.059513,100,30,1352,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,18,491.112172,212.341377,393.853973,0.200000,15011.720,2,200,600,5,60,20,10,0.852641,2.092114,100,24,2156,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,2,491.517891,212.791704,393.630933,0.200000,19892.150,2,120,600,4,60,20,8,0.845443,1.594391,100,34,2351,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,27,491.958108,213.274741,393.416833,0.200000,13597.105,2,160,600,4,60,20,8,0.801010,2.408856,100,28,776,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,32,491.982490,213.309856,393.363171,0.200000,6124.342,2,80,600,5,60,20,6,0.789388,0.553835,100,5,304,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,21,539.809771,210.891539,394.591162,0.250000,9986.515,2,80,600,5,60,20,2,0.951235,1.888684,100,38,2442,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,15,540.979860,212.197993,393.909338,0.250000,13390.721,2,200,600,5,60,20,8,0.837634,0.799187,250,30,1870,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
